"Gene Symbol","Expert Panel",Curator,"Disease Entity","Uploaded date","Precuration date","Disease entity assigned date","Precuration Complete date","Curation Provisional date","Curation Approved date","Recuration assigned date","Retired Assignment date","Published date",Classification,Created,"GCI UUID"
TMEM237,"Syndromic Disorders GCEP",,MONDO:0013745,2020-03-27,,,,2021-04-26,2021-04-26,,,2021-04-26,Definitive,"2020-03-27 15:44:24",14864c57-881b-4152-aea6-ebb53f99eaa5
TREX1,"Syndromic Disorders GCEP","Alicia Byrne",MONDO:0009165,2020-03-27,,,2022-04-06,,2022-09-07,,,,,"2020-03-27 15:44:25",731e8778-1f7d-4cde-90aa-61fa33e17ada
WASHC5,"Syndromic Disorders GCEP",,MONDO:0009073,2020-03-27,,,2021-03-19,,2021-09-17,,,2022-05-21,Limited,"2020-03-27 15:44:26",cd52e4d4-6f0a-4a15-b3f1-0722d19c666d
WDR35,"Syndromic Disorders GCEP",,MONDO:0013323,2020-03-27,2021-04-07,,,2022-05-29,2022-05-29,,,2022-05-29,"No Known Disease Relationship","2020-03-27 15:44:26",6f24ef20-943a-4554-b469-4fd0bea5ea7a
WNT10A,"Syndromic Disorders GCEP",,MONDO:0100358,2020-03-27,,,2021-07-16,,2021-08-20,,,2022-05-21,Definitive,"2020-03-27 15:44:27",4709b92d-11cf-455a-ab77-4a6666bcffe3
ZMPSTE24,"Syndromic Disorders GCEP","Alicia Byrne",MONDO:0010143,2020-03-27,,,2021-04-07,2022-06-23,2022-06-23,,,2022-06-30,Definitive,"2020-03-27 15:44:28",cad5deb7-668a-47a5-ba7c-5f333c8586fc
ASH1L,"Syndromic Disorders GCEP",,MONDO:0030918,2020-03-27,,,,,,,,,,"2020-03-27 15:44:30",
ATP1A3,"Syndromic Disorders GCEP",,MONDO:0700002,2020-03-27,,,2021-04-27,,2021-07-16,,,2022-05-22,Definitive,"2020-03-27 15:44:31",0d196a7e-dede-4bff-b3a6-eadf86d50ce4
BCL11A,"Syndromic Disorders GCEP",,,2020-03-27,,,,,,,,,,"2020-03-27 15:44:32",
C19orf12,"Syndromic Disorders GCEP",,,2020-03-27,2022-11-22,,,,2023-02-28,,,,,"2020-03-27 15:44:33",3f13acc9-d35a-4ad9-92f3-bf1d0e39144c
CACNA1G,"Syndromic Disorders GCEP","Courtney Thaxton",,2020-03-27,,,2020-06-19,,,,,,,"2020-03-27 15:44:34",
CAMK2G,"Syndromic Disorders GCEP",,MONDO:0032795,2020-03-27,,,,2021-07-30,2021-07-30,,,2021-07-30,Limited,"2020-03-27 15:44:35",f5e0e02b-579b-4777-81de-3371ba7a0040
CLCN3,"Syndromic Disorders GCEP",,,2020-03-27,,,,,,,,,,"2020-03-27 15:44:36",
CSNK2B,"Syndromic Disorders GCEP",,MONDO:0032889,2020-03-27,,,,,2022-01-21,,,2022-04-08,Definitive,"2020-03-27 15:44:36",ec04c48f-cbcc-4d1d-bcfa-79a8ddb426d2
DDR2,"Syndromic Disorders GCEP",,MONDO:0010077,2020-03-27,,,2022-07-06,2023-05-30,2023-05-30,,,2023-05-30,Definitive,"2020-03-27 15:44:37",e7f9999a-b41f-40eb-94af-fecdea531734
EP300,"Syndromic Disorders GCEP",,MONDO:0020769,2020-03-27,,,2021-04-16,,,,,,,"2020-03-27 15:44:38",
GRIA2,"Syndromic Disorders GCEP",,MONDO:0030060,2020-03-27,,,,2023-05-30,2023-05-30,,,2023-05-30,Definitive,"2020-03-27 15:44:39",0052e01a-b447-464b-93c7-304fa6a2afe6
KMT2A,"Syndromic Disorders GCEP",,,2020-03-27,,,,,2022-02-23,,,2022-05-22,,"2020-03-27 15:44:40",
KMT2E,"Syndromic Disorders GCEP",,,2020-03-27,,,,,,,,,,"2020-03-27 15:44:41",
KMT5B,"Syndromic Disorders GCEP",,,2020-03-27,,,,,2021-11-21,,,2022-04-08,,"2020-03-27 15:44:42",
MAPK8IP3,"Syndromic Disorders GCEP",,,2020-03-27,,,,,2021-10-26,,,2022-05-22,,"2020-03-27 15:44:43",
MED13,"Syndromic Disorders GCEP",,,2020-03-27,,,,,,,,,,"2020-03-27 15:44:44",
MYMK,"Syndromic Disorders GCEP",,MONDO:0009700,2020-03-27,,,,2022-04-08,2022-04-08,,,2022-04-08,Definitive,"2020-03-27 15:44:45",1a1eda9f-26f9-4fe6-8420-cae3e6a034c5
NAA10,"Syndromic Disorders GCEP",,,2020-03-27,2022-05-20,,,,,,,,,"2020-03-27 15:44:45",
PBX1,"Syndromic Disorders GCEP",,MONDO:0060549,2020-03-27,,,,2022-11-18,2023-05-30,,,2023-05-30,Definitive,"2020-03-27 15:57:51",acb48707-6125-4288-818a-21521177f5d6
PCGF2,"Syndromic Disorders GCEP",,,2020-03-27,,,,,2021-08-20,,,2022-04-08,,"2020-03-27 15:57:52",
PIGU,"Syndromic Disorders GCEP",,,2020-03-27,,,,,2022-05-20,,,,,"2020-03-27 15:57:53",
PLCB4,"Syndromic Disorders GCEP",,MONDO:0013845,2020-03-27,,,2023-04-05,2023-11-28,2024-01-08,,,2024-01-08,Definitive,"2020-03-27 15:57:54",f89e1bd4-0a40-4bc1-9a80-933c5fb1237c
POLR2A,"Syndromic Disorders GCEP",,MONDO:0032829,2020-03-27,,,,2020-08-04,2020-08-25,,,2020-08-25,Moderate,"2020-03-27 15:57:55",0c03dd8b-0a7c-4c03-9796-bd8920cfbfd5
PRG4,"Syndromic Disorders GCEP",,,2020-03-27,,,,,2021-04-27,,,2021-07-30,,"2020-03-27 15:57:55",
SMCHD1,"Syndromic Disorders GCEP",,MONDO:0011323,2020-03-27,,,2021-11-03,,2021-11-03,,,2022-05-20,,"2020-03-27 15:57:56",
SPTBN4,"Syndromic Disorders GCEP",,,2020-03-27,,,,,2021-12-01,,,,,"2020-03-27 15:57:57",
TANC2,"Syndromic Disorders GCEP",,,2020-03-27,,,,,,,,,,"2020-03-27 15:57:58",
TCF20,"Syndromic Disorders GCEP",,MONDO:0032745,2020-03-27,,,,2020-10-07,2020-10-07,,,2020-10-07,Definitive,"2020-03-27 15:57:59",107fc6b3-8f5d-4d32-b04e-ac44d62492a7
TSHZ1,"Syndromic Disorders GCEP","Courtney Thaxton",MONDO:0011921,,,,,2020-06-18,2020-08-25,,,2020-08-25,Limited,"2020-03-27 15:58:00",f39bcd95-8d54-4f6e-9df6-c3a08f0fcb12
UBE3B,"Syndromic Disorders GCEP",,,2020-03-27,,,,,,,,2021-07-30,,"2020-03-27 15:58:01",
UNC13A,"Syndromic Disorders GCEP",,,2020-03-27,,,2021-06-18,2021-10-15,,,,,,"2020-03-27 15:58:02",
UNC80,"Syndromic Disorders GCEP",,MONDO:0014777,2020-03-27,,,,2021-07-30,2021-07-30,,,2021-07-30,Definitive,"2020-03-27 15:58:03",88d8866a-a0e0-45e7-aeb3-6dc46427eeb2
USP7,"Syndromic Disorders GCEP",,MONDO:0014805,2020-03-27,,,,,2021-08-04,,,2021-09-03,,"2020-03-27 15:58:04",
WNT5A,"Syndromic Disorders GCEP",,MONDO:0024455,2020-03-27,,,,,2020-10-27,,,2021-02-03,,"2020-03-27 15:58:05",
ZNF462,"Syndromic Disorders GCEP",,MONDO:0032836,2020-03-27,,,,2020-07-24,,,,2020-08-25,Definitive,"2020-03-27 15:58:06",400c210c-a208-44f7-9856-dfe1f6ca7ab8
ARSL,"Syndromic Disorders GCEP",,MONDO:0010555,2020-03-30,,,,2023-11-08,2023-11-08,,,2023-11-08,Definitive,"2020-03-30 09:06:54",8825455b-8752-490b-9ad4-b6b457fe6e66
TTN,"Epilepsy GCEP",,,2020-03-30,,,,,,,,,,"2020-03-30 14:06:53",
SLC26A2,"Skeletal GCEP","Emma Wilcox",MONDO:0016648,2020-03-30,,,,2020-04-28,2020-04-28,,,2020-04-28,Definitive,"2020-03-30 14:12:42",e5781291-86c3-47f2-acfa-a0b99688ce82
ACTB,"Brain Malformations GCEP",,MONDO:0017579,2020-03-31,2021-02-22,,,2021-10-26,2021-10-26,,,2021-11-04,Definitive,"2020-03-31 12:31:42",14e65fae-0e2f-4ad4-812d-cbd7c7be2603
ACTG1,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:31:43",
AHI1,"Brain Malformations GCEP","Mayher Patel",MONDO:0012078,,2020-03-24,,2021-09-28,,,,,,,"2020-03-31 12:31:44",
AKT3,"Brain Malformations GCEP","Mayher Patel",MONDO:0100283,2020-03-31,,,2021-02-25,,,,,,,"2020-03-31 12:31:45",
ARFGEF2,"Brain Malformations GCEP",,MONDO:0011966,2020-03-31,2023-07-25,,,,,,,,,"2020-03-31 12:31:46",5e05d6c8-62e2-4496-bbec-2d499c924d39
ARL13B,"Brain Malformations GCEP","Mayher Patel",,2020-03-31,2020-04-28,,,,,,2021-12-15,,,"2020-03-31 12:31:47",
ARX,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:31:48",
ASPM,"Brain Malformations GCEP",,MONDO:0016660,2020-03-31,2023-07-11,,,,,,,,,"2020-03-31 12:31:49",
CASK,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:31:49",
CC2D2A,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:31:50",
CCND2,"Brain Malformations GCEP",,MONDO:0014408,2020-03-31,2020-05-26,,,,,,,,,"2020-03-31 12:31:51",
CDH7,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:31:52",
CDK5RAP2,"Brain Malformations GCEP","Mayher Patel",MONDO:0016660,2020-03-31,2020-05-26,,,2022-01-25,2022-01-25,,,2022-04-11,Definitive,"2020-03-31 12:31:53",5d2e837d-de2f-4f4c-ba38-76f191effeca
CDKL5,"Brain Malformations GCEP","Mayher Patel",,2020-03-31,2020-04-28,,,,,,,,,"2020-03-31 12:32:11",
CENPJ,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:12",
CEP152,"Brain Malformations GCEP",,MONDO:0100346,,2022-01-25,,,2022-08-17,,,,,,"2020-03-31 12:32:13",dc3227fc-552c-4cfa-a117-97d596a989b2
CEP290,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:14",
CHN1,"Brain Malformations GCEP","Mayher Patel",MONDO:0011444,,2020-04-28,,,,,,,,,"2020-03-31 12:32:15",acb26abf-db7d-4b29-9648-ce4cdd4ca3d6
CNTNAP2,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:16",
COL18A1,"Brain Malformations GCEP",,MONDO:0800166,2020-03-31,2020-04-28,,2022-12-13,,,,,,,"2020-03-31 12:32:17",
DCC,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:17",
DCX,"Brain Malformations GCEP","Mayher Patel",,,2020-01-28,,,,,,,,,"2020-03-31 12:32:18",
DEPDC5,"Brain Malformations GCEP","Mayher Patel",,,2020-02-25,,,,,,,,,"2020-03-31 12:32:19",
DYNC1H1,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:20",
FGF8,"Brain Malformations GCEP","Mayher Patel",MONDO:0012988,,2020-02-25,,2021-02-25,,,,,,,"2020-03-31 12:32:21",
FGFR1,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:22",
FH,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:23",
FKRP,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:24",
FKTN,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:25",
FLNA,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:26",
FOXG1,"Brain Malformations GCEP","Mayher Patel",,2020-03-31,2020-04-28,,,,,,,,,"2020-03-31 12:32:26",
KATNB1,"Brain Malformations GCEP","Mayher Patel",MONDO:0014534,2020-03-31,2020-05-26,,2022-11-22,,,,,,,"2020-03-31 12:32:27",
KIF21A,"Brain Malformations GCEP",,MONDO:0007614,2020-03-31,2021-08-23,,,2021-10-07,2021-10-26,,,2021-10-26,Definitive,"2020-03-31 12:32:28",60e3739a-3d7c-4e5d-875a-691752a395ff
KIF2A,"Brain Malformations GCEP","Mayher Patel",MONDO:0018838,2020-03-31,2020-04-28,,,,2022-10-11,,,,,"2020-03-31 12:32:29",a2cd2697-1931-407a-917e-076c4feb64c1
KIF5C,"Brain Malformations GCEP","Mayher Patel",MONDO:0014116,,2020-02-25,,2021-02-25,2022-01-25,2022-01-25,,,2022-04-11,Moderate,"2020-03-31 12:32:30",923df3ae-93e8-44eb-b52b-e88b6d71c6c7
MECP2,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:31",
MTOR,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:32",
NDE1,"Brain Malformations GCEP",,,2020-03-31,,,,,2022-09-27,,,,,"2020-03-31 12:32:33",
NEDD4L,"Brain Malformations GCEP",,MONDO:0014966,,2020-03-24,,2021-11-30,2021-11-30,2021-11-30,,,2021-12-14,Definitive,"2020-03-31 12:32:33",465d60af-08f4-47c3-9dbf-6afbd9ae2f0a
NF1,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:34",
NPHP1,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:35",
NSD1,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:36",
OCA2,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:32:37",
PIK3CA,"Brain Malformations GCEP",,MONDO:0016054,2020-03-31,,,,,,,2023-10-02,,,"2020-03-31 12:32:38",
PNKP,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:33:14",
POMGNT1,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:33:15",
POMT1,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:33:16",
POMT2,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:33:16",
PROK2,"Brain Malformations GCEP","Mayher Patel",MONDO:0012528,2020-03-31,2020-05-26,,,2022-01-06,,,,,Moderate,"2020-03-31 12:33:17",1bde57e2-cfa1-4b10-8cb3-1bc92891e4fc
PROKR2,"Brain Malformations GCEP","Mayher Patel",MONDO:0018800,,2020-02-25,,,,,,,,,"2020-03-31 12:33:18",
PTEN,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:33:19",
RAB18,"Brain Malformations GCEP","Mayher Patel",,2020-03-31,2022-07-12,,,2022-09-13,2022-09-13,,,,,"2020-03-31 12:33:21",
RELN,"Brain Malformations GCEP",,MONDO:0019450,2020-03-31,,,,2023-12-05,2023-12-04,,,2023-12-05,Definitive,"2020-03-31 12:33:24",79529c28-d5e1-492b-a6d8-34a42c6559b6
ROBO3,"Brain Malformations GCEP","Mayher Patel",MONDO:0020790,2020-03-31,2020-05-26,,,2022-08-05,2022-07-12,,,2022-08-05,Definitive,"2020-03-31 12:33:25",a6e857e3-99f2-4401-a71f-fa7ee05cb8d5
RPGRIP1L,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:33:26",
SLC9A6,"Brain Malformations GCEP","Mayher Patel",,2020-03-31,2020-04-28,,,,,,,,,"2020-03-31 12:33:26",
STIL,"Brain Malformations GCEP","Mayher Patel",MONDO:0016660,2020-03-31,2020-04-28,,2023-01-10,2023-03-28,2023-03-28,,,2023-04-03,Definitive,"2020-03-31 12:33:27",9445d36b-8416-45ba-8da3-5695263c2b64
TMEM67,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:33:28",
TSC2,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:33:29",
TUBA1A,"Brain Malformations GCEP",,MONDO:0100153,2020-03-31,2020-05-26,,,,,,,,,"2020-03-31 12:33:30",8ab03750-2ad4-44b1-a524-65b800d065e7
TUBA8,"Brain Malformations GCEP",,MONDO:0013172,,2023-08-08,,,2023-10-10,2023-12-19,,,,Disputed,"2020-03-31 12:33:31",ea70ace2-7be4-4118-8673-bfcadd9a55ec
TUBB2B,"Brain Malformations GCEP",,MONDO:0000904,2020-03-31,2020-02-25,,2021-02-25,,,,,2022-02-25,,"2020-03-31 12:33:32",
TUBB3,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:33:33",
TUBG1,"Brain Malformations GCEP","Mayher Patel",,2020-03-31,2021-02-23,,2021-02-25,,,,,,,"2020-03-31 12:33:33",
TYR,"Brain Malformations GCEP",,,2020-03-31,,,,,,,,,,"2020-03-31 12:33:34",
UBE3A,"Brain Malformations GCEP","Mayher Patel",,,2020-03-24,,,,,,,,,"2020-03-31 12:33:35",
VLDLR,"Brain Malformations GCEP","Amanda Girod",MONDO:0024542,2020-03-31,2020-03-24,,2021-02-25,2023-06-08,2023-06-13,,,2023-07-28,Definitive,"2020-03-31 12:33:36",142adb69-cbd1-4c26-830e-664d8a79498b
WDR62,"Brain Malformations GCEP","Mayher Patel",MONDO:0016660,2020-03-31,2020-03-24,,2021-02-25,,,,,,,"2020-03-31 12:33:37",
RHOBTB2,"Brain Malformations GCEP",,,,,,,,,,,,,"2020-03-31 12:33:38",
GABRA1,"Epilepsy GCEP",,MONDO:0005579,2020-03-31,,,2020-04-06,2021-07-30,,2024-02-21,,,Definitive,"2020-03-31 14:29:43",b2dde538-5222-448d-9f3a-4e82ee74de2b
GNAO1,"Epilepsy GCEP",,MONDO:0005395,2020-03-31,,,,,,,,2020-04-06,Definitive,"2020-03-31 14:31:14",3e7f8322-2515-44ef-8488-3527cb352996
GRIN1,"Epilepsy GCEP",,MONDO:0100038,2020-03-31,,,,,,,,2020-11-18,Moderate,"2020-03-31 14:35:14",7ef70dcc-1566-496a-98f8-5a2a6db11855
ACTG1,"Hearing Loss GCEP",,,2020-03-31,,,,,2020-04-10,,,,,"2020-03-31 14:43:33",
COL11A2,"Hearing Loss GCEP",,MONDO:0019497,2020-03-31,,,,2023-11-15,2023-11-15,,,2023-12-05,Moderate,"2020-03-31 14:51:11",f8ccd4e5-8a92-41bf-ae08-2eda3ee42c84
GATA2,"Hereditary Cancer GCEP","Xi Luo",MONDO:0013540,2020-03-31,,,,,,,,,,"2020-03-31 14:59:00",ba6b8443-4a28-499d-8cb9-db9d77663410
ALDH18A1,"Aminoacidopathy GCEP",,MONDO:0100126,,2020-04-10,,2020-04-24,2021-05-14,2021-05-18,,,2021-05-18,Definitive,"2020-04-01 11:42:27",eb373e72-2ab4-4463-a9db-4644b7095591
HEXA,"General GCEP","Jenny Goldstein",MONDO:0010100,2020-04-07,,,2020-04-10,2020-05-27,2020-05-27,,,2020-05-27,Definitive,"2020-04-07 20:12:41",8c03d6d3-4529-4061-a992-6a68965a6f22
IDUA,"General GCEP","Jenny Goldstein",,2020-04-07,,,2020-04-21,2020-04-30,2020-05-27,,,2020-05-27,,"2020-04-07 20:13:27",6d6dcf66-f9cd-4e68-b1d3-847b962018bb
GBA,"General GCEP","Jenny Goldstein",MONDO:0018150,2020-04-07,,2020-06-12,2020-06-12,2020-06-24,2020-06-24,,,2020-06-24,Definitive,"2020-04-07 20:14:50",3d323cb4-de3b-4640-a27e-e6f6240126dc
LIPA,"General GCEP","Jenny Goldstein",,2020-04-07,,,,,,,,,,"2020-04-07 20:15:25",
ADAMTS9,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0005308,2020-04-23,2022-02-23,,,2022-07-22,2022-05-11,,,2022-09-15,Limited,"2020-04-23 12:16:17",6496d425-6b34-4a38-b635-a7627357d5cb
AHI1,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:23",
ALG8,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0054743,,2020-05-13,,,2023-10-11,2023-07-10,,,2023-10-11,Limited,"2020-04-23 12:16:24",0c7375c7-0028-4304-b286-4c9cf0c78861
ALG9,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0700000,,2020-05-27,,,2023-10-11,2023-09-11,,,2023-10-11,Definitive,"2020-04-23 12:16:25",671f499f-7ded-41d1-9472-b13c9073d9ba
ANKS6,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0014158,2020-04-23,2021-03-24,,,2021-11-12,2021-08-25,,,2021-11-12,Definitive,"2020-04-23 12:16:26",e38dd438-60c4-4d3b-ad5b-5c24b5d3e047
ARL13B,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:26",
ARL6,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:27",
ATXN10,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:34",
B9D1,"Kidney Cystic and Ciliopathy GCEP","Julie Ratliff",,2020-04-23,,,2023-04-10,2023-05-08,,,,,,"2020-04-23 12:16:38",
B9D2,"Kidney Cystic and Ciliopathy GCEP","Julie Ratliff",MONDO:0005308,2020-04-23,,,,2023-10-11,2023-06-29,,,2023-10-11,Moderate,"2020-04-23 12:16:39",8de61fcd-1ced-4618-b627-d4048d777972
BBIP1,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:40",
BBS1,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:40",
BBS10,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:41",
BBS12,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:42",
BBS2,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:43",
BBS4,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:44",
BBS5,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:45",
BBS7,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:46",
BBS9,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:46",
C2CD3,"Kidney Cystic and Ciliopathy GCEP","Vanessa Gitau",MONDO:0014413,2020-04-23,,,,2023-08-15,2023-05-24,,,2023-08-15,Definitive,"2020-04-23 12:16:47",36fd8505-dd71-49b9-9fda-72a8aac5519d
C8orf37,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:48",
CC2D2A,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0005308,2020-04-23,2022-07-27,,,2022-08-31,2022-08-24,,,2022-09-01,Definitive,"2020-04-23 12:16:49",20bb95cd-fb58-4904-93ea-b9555c35cb34
CCDC28B,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:50",
CEP104,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0005308,2020-04-23,2022-12-14,,,,,,,,,"2020-04-23 12:16:51",
CEP120,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:51",
CEP164,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0005308,2020-04-23,2021-07-28,,,,2021-10-27,,,2021-12-31,,"2020-04-23 12:16:52",
CEP290,"Retina GCEP","Tam Sneddon",,2020-04-23,,,,,,,,,,"2020-04-23 12:16:53",
CEP41,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:54",
CEP83,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0005308,2020-04-23,2021-08-25,,,,2021-09-22,,,,,"2020-04-23 12:16:55",
CFAP410,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:56",
CILK1,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:57",
COL4A1,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:16:58",
CPLANE1,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,2021-10-13,,,,,,,,,"2020-04-23 12:16:59",
CSPP1,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0014288,2020-04-23,2021-04-28,,,2021-07-16,2021-06-23,,,2021-07-16,Definitive,"2020-04-23 12:17:00",352ca78d-b94b-4205-a385-ed16d6ae8d05
DCDC2,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0005308,2020-04-23,2021-07-28,,,2021-12-16,2021-10-13,,,2021-12-16,Definitive,"2020-04-23 12:17:01",f8977a93-f5f7-45dd-b7cd-8caa9cdbe615
DDX59,"Kidney Cystic and Ciliopathy GCEP","Vanessa Gitau",MONDO:0005308,2020-04-23,,,,,,,,,,"2020-04-23 12:17:02",76d09023-9c5c-4530-ae13-688fb4954923
DNAJB11,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0002473,,2020-05-27,,,,,,,2020-09-09,,"2020-04-23 12:17:04",
DYNC2H1,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:17:05",
DZIP1L,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0009889,2020-04-23,2022-02-09,,,2022-03-22,2022-03-09,,,2022-05-11,Strong,"2020-04-23 12:17:06",ef2d0d7a-4e5a-47ef-ab33-20dcce11e922
EVC,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:17:07",
EVC2,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:17:08",
EXOC8,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:17:10",
FAN1,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0013898,2020-04-23,2021-10-27,,,,2022-02-23,,,,,"2020-04-23 12:17:11",
GLIS2,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0012680,2020-04-23,2021-03-24,,,2021-07-27,2021-05-26,,,2021-07-27,Limited,"2020-04-23 12:17:13",834a5e7e-01b9-4928-828a-b4045ce7c2bf
HNF1B,"Kidney Cystic and Ciliopathy GCEP",,MONDO:0007669,2020-04-23,2020-11-11,,,2021-01-19,2021-01-19,,2022-01-18,2021-06-21,Definitive,"2020-04-23 12:17:14",
HYLS1,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:17:15",
IFT122,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:19:10",
IFT140,"Kidney Cystic and Ciliopathy GCEP","Tam Sneddon",MONDO:0004691,2020-04-23,2022-02-09,,,2022-08-30,2022-04-13,,,2022-08-30,Strong,"2020-04-23 12:19:11",b48ddea3-c968-4184-b6ba-fa1bf438801c
IFT172,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:19:13",
IFT27,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:19:14",
IFT43,"Kidney Cystic and Ciliopathy GCEP",,,2020-04-23,,,,,,,,,,"2020-04-23 12:19:15",
